Name,X,Y,A,B,C,D,E,F,Signal
77,-111.0785,39.52997,0.0,1.3135906e-6,0.06883724,0.0,0.47162604,0.10693433,E
78,-111.15128,39.32691,0.21537974,0.06160338,0.0,0.004152539,0.34889972,0.17805521,A
79,-111.1485,39.33497,0.028329067,0.092838384,0.030723803,0.052822534,0.44608307,0.030888762,E
80,-111.09739,39.48413,0.04282112,0.026785491,0.04395962,0.15420282,0.33855882,0.13559766,E
81,-111.08322,39.5258,0.0,0.0,0.06349765,0.0,0.47864226,0.12265005,E
82,-111.14573,39.35024,0.14488028,0.0,0.06577991,0.0,0.3280225,0.1404946,E
83,-111.14878,39.34219,0.017969739,0.02750414,0.094042815,0.16905403,0.3723709,0.004310763,E
84,-111.09906,39.48441,0.021218646,0.083209984,0.038105574,0.051708724,0.39894313,0.03202228,E
85,-111.0835,39.52913,0.0,0.017163476,0.04860728,0.0,0.5389828,0.13173327,E
86,-111.09934,39.48524,0.0,0.0,0.06366579,0.0024279542,0.4466938,0.13480954,E
87,-111.11323,39.45163,0.06335225,0.0,0.06414495,0.0,0.41084895,0.13801205,E
88,-111.07906,39.55024,0.0,0.041323833,0.08727888,0.00035417697,0.39368105,0.18535383,E
89,-110.84127,40.21218,0.08614666,0.013342224,0.14292327,0.06137165,0.48805478,0.1634332,E
90,-111.16073,39.32302,0.22720325,0.048328865,0.0,0.0083291195,0.34996614,0.20843089,A
91,-111.15823,39.33052,0.1446025,0.0,0.06423988,0.0,0.34432486,0.1362365,E
92,-111.10906,39.47608,0.022644732,0.07824842,0.001923612,0.001094443,0.4020476,0.13488191,E
93,-111.09961,39.50441,0.0017509955,0.0,0.06483067,0.0,0.43215767,0.14002462,E
94,-111.15878,39.34274,0.029578986,0.045533758,0.050070968,0.078514606,0.3801971,0.08030742,E
95,-111.14795,39.37608,0.19734763,0.03771279,0.023770133,0.0,0.3027389,0.16367222,A
96,-111.11406,39.47163,5.165617e-6,0.019480241,0.04077025,6.5890254e-7,0.48415887,0.15480395,E
97,-111.09684,39.52108,0.0,0.0,0.07799813,0.0,0.40076897,0.1024789,E
98,-111.16739,39.32441,0.14983907,0.05588963,0.0,0.018171094,0.3980242,0.19279401,E
99,-111.13239,39.42358,0.20475651,0.04266782,0.0,0.016682018,0.31777412,0.21797696,A
100,-111.16934,39.32135,0.4685373,0.08788021,0.0,0.0035810089,0.09667152,0.13015498,A
101,-111.20156,39.23163,0.7622856,0.0,0.0,0.01983942,0.0,0.12039408,A
102,-111.20267,39.23052,0.67121917,0.08497299,0.00026799034,0.0011165016,0.0061652176,0.25411776,A
