Name,X,Y,S1,S2,S3,S4,S5,S6,Cluster
82A-11-RD2,326907.12,4.40670723e6,3.164381114602115e-16,0.7741008331198773,4.949558583752206e-16,0.7757058569296792,7.146283841848937e-17,2.2060441541075866e-16,E
82A-11-RD3,326907.12,4.40670723e6,3.164381114602115e-16,0.7741008331198773,4.949558583752206e-16,0.7757058569296792,7.146283841848937e-17,2.2060441541075866e-16,E
88-11,326889.0,4.40544507e6,3.164381114602115e-16,0.27975848000127596,0.26438173988051317,0.7934600138772613,0.04467066237814214,0.13630811394468206,E
B1,327745.53,4.40596877e6,0.34537129785523724,0.6922966334217496,4.949558583752206e-16,4.896670914107751e-16,0.04745052075737563,0.299764893374438,B
B2,327721.65,4.40609786e6,0.3163903392589813,0.44749583620007494,6.813191873084919e-13,4.896670914107751e-16,1.847401011386702e-14,0.8576398875749358,B
B3,327738.97,4.40619405e6,0.06053444952504505,0.2603160028487203,4.949558583752206e-16,4.896670914107751e-16,1.0,0.021315672478874698,F
B4,327778.14,4.40639034e6,0.0002849960472902303,0.1234916755120684,0.5558088949583226,4.896670914107751e-16,0.99517461810988,0.011989041243080156,F
B5,327713.81,4.40629808e6,3.164381114602115e-16,0.6542467080435539,0.6353004218103656,0.8684404403197915,7.146283841848937e-17,2.2060441541075866e-16,C
B5A,327754.04,4.40637455e6,0.020006940305865643,0.15680329971980528,0.6070848657583597,0.1926554494091608,0.8376310924211618,4.8143243109818026e-5,F
B6,327848.36,4.40636567e6,0.40190946042798104,0.1505187746002943,4.949558583752206e-16,0.5215193200333944,0.7091465980571642,0.01582677031664065,F
B7,327784.51,4.40629935e6,0.03312790323146398,0.24354418611986,0.500501361972739,0.5956647959019747,0.6468964178489077,0.013358738500399111,F
B8,327603.56,4.40643766e6,0.8204026912396986,0.7107920368729803,4.949558583752206e-16,4.896670914107751e-16,0.03453590417139889,2.2060441541075866e-16,A
BCH-1,328398.2,4.40887416e6,3.164381114602115e-16,4.9227234579565685e-15,0.6765987424737426,0.4535567183442326,7.146283841848937e-17,0.47232079702330104,D
BCH-2,327732.14,4.40800628e6,0.9661474088654318,0.004530726918906331,4.949558583752206e-16,4.896670914107751e-16,7.146283841848937e-17,0.38557599084780225,A
BCH-3,327126.74,4.40600409e6,3.164381114602115e-16,8.730853459801989e-7,4.949558583752206e-16,0.8107208384468192,0.022789924774175442,0.6072612101335413,B
EE-1,327575.0,4.40640489e6,0.8340726332289305,0.7018468018690055,4.949558583752206e-16,4.896670914107751e-16,0.03211859431382414,2.2060441541075866e-16,A
MG-1(SP-1),328194.09,4.4071925e6,0.9317671993724395,0.4630091430259586,4.949558583752206e-16,0.7846490901475546,7.146283841848937e-17,2.2060441541075866e-16,A
MG-2(SP-2),328128.08,4.4076273e6,0.42376763192670325,0.6653848039672656,1.0,0.19244219290477402,7.146283841848937e-17,2.2060441541075866e-16,C
MGI-1,327853.91,4.40678619e6,0.670966036980666,0.19929946735138854,0.7332806018426817,4.896670914107751e-16,0.42472147147737616,0.05493725772015698,F
MGI-2,327994.35,4.40709171e6,0.98700068156315,0.10238669472580755,0.027295776411079435,0.7762833315616099,0.48699662583011505,0.008337225658200269,F
