Name,S1,S2,S3,S4,S5,S6
56B-1,3.1526258775819423e-17,2.78583162520741e-17,3.611796281512068e-17,0.005567635021233935,0.04934544776032523,0.06045204861772145
57-1,4.359631664462975e-12,0.04311537162004686,3.611796281512068e-17,0.025456236406785064,0.03384417164884253,0.03934796624686397
64-1,0.03241782809818929,0.05425034559179742,3.611796281512068e-17,2.8518845850968557e-17,2.330546441671324e-17,0.028196210055079062
68A-1,3.1526258775819423e-17,0.025642283748077435,0.04265866488576034,0.019562520240488296,3.880729122703147e-11,0.04802966077800854
68B-1,1.7234729667700133e-5,0.05203803304839597,0.06419298272803732,0.05041032050252765,1.4037346724144806e-9,0.013622954773737928
77-1,0.028832569284663476,0.029278270188208205,0.06492208135841515,2.8518845850968557e-17,0.035937464767469035,2.4774738161709492e-17
81-1,0.015657904933576668,0.0450886613135274,3.611796281512068e-17,0.029858226255888055,0.017092180917941152,0.011557336728732057
81-11,3.1526258775819423e-17,2.78583162520741e-17,3.611796281512068e-17,0.04067131957925748,0.028849015441138864,0.02216763170347133
81A-1,0.014509453714138388,0.04576123742132348,3.611796281512068e-17,0.02924613644997782,0.01114741287898618,0.016993115453911495
81B-1,0.043940893774269255,0.03657028935203239,0.021047491198835578,0.0023090438527869914,0.009857792889478752,0.013530697646864357
82A-11,0.09721077179687765,2.78583162520741e-17,3.611796281512068e-17,2.8518845850968557e-17,4.94192937708491e-14,3.3515459308860453e-14
88-11,0.04813522601155682,0.007009112252346975,3.611796281512068e-17,8.411062684311222e-6,0.03928190800979326,2.4774738161709492e-17
B1,3.1526258775819423e-17,2.78583162520741e-17,3.611796281512068e-17,0.029480768732681493,0.0400791417650068,0.027752240909908923
B2,0.0009672491804437997,0.03625767584858154,3.611796281512068e-17,0.012418110086901964,0.010714245029816886,0.04609302345292198
B3,3.1526258775819423e-17,1.0160426968400438e-12,0.05557782853227271,0.003029144804222601,0.028915113293289264,0.03483103943637107
B4,3.1935746195297572e-12,0.03493051599603905,0.06328266645351477,0.023904159828208472,0.009415707813377038,0.02268690384942484
