Name,X,Y,S1,S2,S3,S4,S5,S6,Cluster
47A-1,327661.35,4.40729129e6,5.977774171094822e-8,6.089933246187557e-16,0.5209114967397191,0.8693520918166432,5.210625093953699e-16,4.3958847664929017e-16,B
47C-1,327746.25,4.4073085e6,0.6395442612191421,6.089933246187557e-16,0.6547806387476823,4.2967035086555556e-16,0.15666827815680956,4.3958847664929017e-16,E
48A-1,327704.9,4.40718065e6,0.39825230818053664,6.089933246187557e-16,1.0,4.2967035086555556e-16,5.210625093953699e-16,4.3958847664929017e-16,E
55-1,328014.47,4.40772054e6,0.01528069884898762,0.3355215656582376,0.4205858834971878,0.4374467734183762,0.511819024103279,0.2468434374559419,B
56-1,327963.43,4.40755491e6,4.604461086407843e-16,6.089933246187557e-16,0.4133580560134251,0.7782115472495721,0.6686263403584107,4.205983747324401e-6,B
56A-1,327859.51,4.40755578e6,0.5999558315340758,6.089933246187557e-16,0.5174444435068319,4.2967035086555556e-16,5.210625093953699e-16,0.536839368180896,E
56B-1,327891.35,4.40745289e6,1.930929737309355e-5,6.089933246187557e-16,0.7042276918333846,0.8489120053781809,5.210625093953699e-16,4.3958847664929017e-16,B
57-1,327931.46,4.40741438e6,0.24934711405858925,6.089933246187557e-16,0.4384033218018201,0.6161092442120194,0.6961499693916103,4.3958847664929017e-16,B
64-1,328156.6,4.40795433e6,4.604461086407843e-16,6.089933246187557e-16,2.88922820434788e-16,0.4617361245538721,0.9168953888855289,0.30343962402284946,D
68A-1,328229.72,4.40707921e6,0.36498537002720655,0.43216531440096945,2.88922820434788e-16,0.8137333219683718,0.5409945642077761,4.3958847664929017e-16,B
68B-1,328065.7,4.40706164e6,0.6812615611567276,0.6957524604573346,2.88922820434788e-16,0.31565651735870937,0.9231538519377103,0.0002752305073785206,C
77-1,328214.13,4.40718169e6,4.604461086407843e-16,0.8507881032127724,0.32457698842989297,4.2967035086555556e-16,0.5951462028800852,0.3516415262242751,A
81-1,328567.28,4.40851194e6,0.07495406306880964,6.089933246187557e-16,0.06533987304603743,0.34272464602089336,0.9966651650848044,6.094679650918774e-16,D
81-11,326859.34,4.4069495e6,0.49412725937093593,6.089933246187557e-16,0.595278244876272,4.2967035086555556e-16,5.210625093953699e-16,4.3958847664929017e-16,E
81A-1,328598.76,4.40855648e6,0.0756782432440243,6.089933246187557e-16,0.05945542796967547,0.32251935518656905,1.0,4.3958847664929017e-16,D
81B-1,328528.63,4.40843124e6,0.011678718661541413,0.27867538642478884,0.0016753438808934419,0.21309961627297427,0.7248448452498683,0.5132274121909761,D
82A-11,326907.12,4.40670723e6,4.604461086407843e-16,6.089933246187557e-16,2.88922820434788e-16,4.2967035086555556e-16,5.210625093953699e-16,1.0,F
82A-11-RD1,326907.12,4.40670723e6,4.604461086407843e-16,6.089933246187557e-16,2.88922820434788e-16,4.2967035086555556e-16,5.210625093953699e-16,1.0,F
82A-11-RD2,326907.12,4.40670723e6,4.604461086407843e-16,6.089933246187557e-16,2.88922820434788e-16,4.2967035086555556e-16,5.210625093953699e-16,1.0,F
82A-11-RD3,326907.12,4.40670723e6,4.604461086407843e-16,6.089933246187557e-16,2.88922820434788e-16,4.2967035086555556e-16,5.210625093953699e-16,1.0,F
88-11,326889.0,4.40544507e6,0.2476141451756443,6.089933246187557e-16,0.260142905553968,4.2967035086555556e-16,0.198365754600493,0.4377550084176606,E
B1,327745.53,4.40596877e6,0.3342096258686932,6.089933246187557e-16,0.639843768963995,0.18658250032244603,5.210625093953699e-16,4.3958847664929017e-16,E
B2,327721.65,4.40609786e6,0.0005208780065131288,6.089933246187557e-16,0.3577837191355198,0.5758729799359221,0.3844681813242485,1.1140662817090526e-9,B
B3,327738.97,4.40619405e6,3.0226243550814435e-6,0.6772356662985768,0.7417328213937253,0.050906866808370824,5.210625093953699e-16,4.3958847664929017e-16,A
B4,327778.14,4.40639034e6,0.16345959277051822,0.782858234163167,0.26634138757844056,0.3154706822993117,0.5614104319520654,4.3958847664929017e-16,A
B5,327713.81,4.40629808e6,4.604461086407843e-16,0.889131423552867,2.88922820434788e-16,4.2967035086555556e-16,0.7407301274779664,0.435328166416148,A
B5A,327754.04,4.40637455e6,0.14410030435824436,0.9618275260975528,0.2123930513443077,0.33468640954106377,0.5690363522095017,2.7656673332515527e-12,A
