Name,X,Y,S1,S2,S3,S4,S5,Signal
B7,327784.51,4.40629935e6,0.01812489507064416,0.583164664829013,0.13658426545549943,0.42749512570022613,0.08741002941739509,B
B8,327603.56,4.40643766e6,0.7793967588472127,0.20423403528958053,3.630771467248368e-16,2.621424643892808e-16,3.3777100650407487e-16,C
BCH-1,328398.2,4.40887416e6,2.632385326909195e-16,2.2488225009569884e-16,0.4348210258501539,0.2223275992028228,0.766974172273209,E
BCH-2,327732.14,4.40800628e6,0.23133605674219238,0.14740078334873208,0.14565794492371645,2.621424643892808e-16,0.822390763701665,E
BCH-3,327126.74,4.40600409e6,2.632385326909195e-16,2.2488225009569884e-16,3.630771467248368e-16,0.4724714516760611,1.0,D
EE-1,327575.0,4.40640489e6,0.8375629446511225,0.12778926763384293,3.630771467248368e-16,2.621424643892808e-16,3.3777100650407487e-16,C
MG-1(SP-1),328194.09,4.4071925e6,2.632385326909195e-16,0.7602283210607198,3.630771467248368e-16,0.3276858113164968,0.26851540304857874,B
MG-2(SP-2),328128.08,4.4076273e6,2.632385326909195e-16,0.2338037160689216,1.0,0.1809338854851008,3.3777100650407487e-16,A
MGI-1,327853.91,4.40678619e6,0.0001311202146226934,0.3897113116743308,0.765033912645805,2.621424643892808e-16,0.45621160009087364,E
MGI-2,327994.35,4.40709171e6,0.0003400932232925153,0.5507507742862413,0.26209477077031074,0.49161373066500264,0.1350530436078926,B
