Name,X,Y,S1,S2,S3,S4,Cluster
82A-11-RD3,326907.12,4.40670723e6,0.8945877848140121,0.21302145861155494,0.8061804017376167,0.10120278711560572,D
88-11,326889.0,4.40544507e6,0.6475348214269998,0.5617371613324187,1.0,0.18229513368886524,D
B1,327745.53,4.40596877e6,0.2903075366014888,0.4847837657327667,0.6113552565491437,0.37301585902626083,A
B2,327721.65,4.40609786e6,0.06192315994530267,1.985238287539643e-16,0.07121508910736661,0.0884378517861586,B
B3,327738.97,4.40619405e6,0.09590046618906886,0.1345502035977019,0.1967119917466997,0.21111601806929375,B
B4,327778.14,4.40639034e6,0.1232410034614959,0.28554056507511016,0.13335278972793016,0.2768072697939286,A
B5,327713.81,4.40629808e6,0.30336461842320434,0.44024209309913054,0.4759427541493477,0.5724782026099828,B
B5A,327754.04,4.40637455e6,0.1536034103099646,0.4403512511583105,0.2819409730976926,0.37898667487740895,A
B6,327848.36,4.40636567e6,0.10857480326202042,0.259114098713576,0.20272449175315904,0.2073254293220641,A
B7,327784.51,4.40629935e6,0.04243781035291914,0.15564538031998437,0.031921678437739465,0.09041214691705746,A
B8,327603.56,4.40643766e6,0.48507378140537083,0.40253207372086514,0.411563842787696,0.9518243059195188,B
BCH-1,328398.2,4.40887416e6,0.5050281716145281,0.6091182581221701,0.29473585799027574,0.3993964648078432,A
BCH-2,327732.14,4.40800628e6,0.40151790289550443,0.672220294064309,0.4689069744761537,0.747431583204423,A
BCH-3,327126.74,4.40600409e6,0.8061649776138792,0.8996580447685272,0.754436027598027,0.17163932451544123,C
EE-1,327575.0,4.40640489e6,0.5457403546607008,0.38835659139291007,0.4114929696431276,0.917379815571643,B
MG-1(SP-1),328194.09,4.4071925e6,0.43075773445034027,0.6521060892796666,0.7786909761845247,0.8368599674899037,B
MG-2(SP-2),328128.08,4.4076273e6,0.4101697073569784,0.6230652229792564,0.6464151291805915,0.7934931949516375,B
MGI-1,327853.91,4.40678619e6,0.07958479509734562,0.1794828449550491,0.07771414016453956,0.3031862315454381,B
MGI-2,327994.35,4.40709171e6,0.0634990744597218,0.28943452959009536,0.04883442584362486,0.19092979764465234,A
