Name,S1,S2,S3,S4,S5
B1,0.05310448419173928,0.031791984024306136,2.6350509901933625e-17,3.0106707530237105e-17,0.0032295212079796543
B2,0.0858484358085663,1.1786201186550753e-6,6.22830031083448e-9,3.0106707530237105e-17,0.002247351640789697
B3,0.03697801536733368,0.023895789475111586,2.6350509901933625e-17,0.046361701871267744,5.1163029851928346e-12
B4,0.001864865812956814,0.061975868777195395,2.6350509901933625e-17,0.06627239273951006,0.0023762270051100615
B5,2.484426448679767e-17,2.899958334703932e-17,0.04409382869316097,0.0646167821056023,2.2601739897823566e-17
B5A,8.811323169756332e-13,0.0707919599563931,2.8019179539975994e-17,0.06721918873834348,6.614913808136162e-7
B6,0.00024844448710116025,0.05907417867922076,0.025601237437079337,0.0423630699878019,1.0387394235263044e-15
B7,1.0025390578443565e-5,0.037314968901732304,0.025963832719474465,0.06519654037935864,9.999702070864278e-6
B8,0.09388413286663809,2.899958334703932e-17,2.6350509901933625e-17,3.0106707530237105e-17,2.2601739897823566e-17
BCH-1,2.484426448679767e-17,0.04761886516238807,0.022303846585279397,0.026103053358626074,2.2601739897823566e-17
BCH-2,0.05070592787204543,0.04769568083917535,2.6350509901933625e-17,3.0106707530237105e-17,2.2601739897823566e-17
BCH-3,2.484426448679767e-17,0.061223681682993206,0.022965253195413614,3.0106707530237105e-17,0.009204473958042483
EE-1,0.09187973570358324,2.899958334703932e-17,2.6350509901933625e-17,3.0106707530237105e-17,2.2601739897823566e-17
MG-1(SP-1),0.023526223946455205,0.020875259226935353,0.02503721898221397,0.05180106735022015,2.2601739897823566e-17
MG-2(SP-2),0.020204008771343842,2.899958334703932e-17,0.024834679385129368,0.06614433142627107,2.2601739897823566e-17
MGI-1,0.040253463032115404,9.337734243833946e-8,0.013435187236189576,0.042418846281447105,0.011315547831499163
MGI-2,1.8365073139743324e-7,0.029880585373877014,0.03802461277226131,0.06863873488405021,1.3694138280887696e-5
