Name,S1,S2,S3,S4,S5,S6
82A-11-RD3,3.0421789478910837e-17,4.122191278752691e-17,0.07674880688257558,2.499712438000494e-17,3.709463045503437e-17,3.4264473524972136e-17
88-11,3.0421789478910837e-17,0.011219466207386761,0.03300193262029075,0.028297864225557016,3.709463045503437e-17,0.012381705727667551
B1,0.03378550122586809,0.03900152293087873,3.5409470045718996e-17,0.0350834257859344,3.709463045503437e-17,3.4264473524972136e-17
B2,0.09031084747937579,0.00033261611981505007,7.357264328572063e-11,0.0038183749967451693,3.709463045503437e-17,0.007136475935355884
B3,0.045009618106666274,9.227209914055373e-9,3.5409470045718996e-17,0.01634064186346368,0.054937501729269346,3.4264473524972136e-17
B4,0.01747713803069885,0.00033126223007632233,3.5409470045718996e-17,0.014641028863931678,0.06574265555040174,0.030278576549262914
B5,3.0421789478910837e-17,4.122191278752691e-17,0.0382518175219365,2.499712438000494e-17,0.0665780244397391,0.030254246620727367
B5A,0.0003303873037288091,0.0006490356735121669,3.5409470045718996e-17,0.018688982916819138,0.08998081451804671,0.02910943044495926
B6,0.02283780020739525,0.006687691639712285,0.02900962599311502,0.006225522728796462,0.06478309335337108,3.4264473524972136e-17
B7,0.00128868185174499,0.000627736113429303,0.021742414632388338,0.00010350880985379583,0.06817279675412086,0.045519398738699146
B8,0.07311412482121417,4.122191278752691e-17,3.5409470045718996e-17,0.025742715700819763,3.709463045503437e-17,3.4264473524972136e-17
BCH-1,3.0421789478910837e-17,0.06895329546620549,0.023000293145716444,2.499712438000494e-17,3.709463045503437e-17,0.03589967889400465
BCH-2,0.06109726587403614,0.07108261346676437,3.5409470045718996e-17,2.499712438000494e-17,3.709463045503437e-17,3.4264473524972136e-17
BCH-3,3.0421789478910837e-17,0.10239235994773715,0.03217456857253588,6.152337173207511e-17,0.00838416458677463,3.4264473524972136e-17
EE-1,0.07352214535766871,4.122191278752691e-17,3.5409470045718996e-17,0.023648130709797262,3.709463045503437e-17,3.4264473524972136e-17
MG-1(SP-1),0.02785010376187719,4.122191278752691e-17,0.021688236866782378,2.499712438000494e-17,0.10865410673637133,3.4264473524972136e-17
MG-2(SP-2),0.046691655279780565,4.122191278752691e-17,0.017573489151429818,2.499712438000494e-17,0.0076266057149583745,0.04816008937782248
MGI-1,0.05281728608532637,3.851805859954163e-5,3.5409470045718996e-17,0.0006884581321564003,0.032791921810165416,0.042012681877760374
