Name,X,Y,S1,S2,S3,S4,Cluster
56A-1,327859.51,4.40755578e6,0.7564857940414006,0.1044231420082369,0.6019040340634741,0.5263454950092101,A
56B-1,327891.35,4.40745289e6,0.2700363990141153,0.11227297383628033,0.5332799280661716,0.17310789096020257,C
57-1,327931.46,4.40741438e6,0.9511365969277494,0.24567769865765768,0.8449578262607313,0.680220743180708,A
64-1,328156.6,4.40795433e6,0.5192013337024098,0.2576168881255574,0.7162360124611562,0.933878644074465,B
68A-1,328229.72,4.40707921e6,0.6648478351407028,0.49622450223372117,0.8086762926336127,0.9177101964847016,B
68B-1,328065.7,4.40706164e6,0.7501978914839974,0.07735197822016517,0.7945086477332455,0.9456950259802895,A
77-1,328214.13,4.40718169e6,0.8216545890218764,0.3881809001099744,0.7692929770119332,0.9063242715408594,B
81-1,328567.28,4.40851194e6,0.24841746526787872,0.04826075598338778,0.16670501235339372,0.10513366203561862,A
81-11,326859.34,4.4069495e6,0.35106623331810705,0.33171376308086614,0.23831168542506279,0.14811921871924702,B
81A-1,328598.76,4.40855648e6,0.21797318321088976,0.046485446126232,0.16882979702297868,0.07227200863927445,A
81B-1,328528.63,4.40843124e6,0.3409135496372151,0.02233109241013433,0.11925122746126325,0.12649590764152194,A
82A-11,326907.12,4.40670723e6,0.21564468674125725,0.9999922564341536,0.18527148227343335,0.6921358453087125,D
82A-11-RD1,326907.12,4.40670723e6,0.2156446753211794,0.999987560883042,0.18527813375655774,0.6921313780400515,D
82A-11-RD2,326907.12,4.40670723e6,0.21564467458244582,0.9999845385096828,0.18528314870477938,0.6921272680695971,D
82A-11-RD3,326907.12,4.40670723e6,0.21564468382870383,1.0,0.18526178303257096,0.692141141711979,D
88-11,326889.0,4.40544507e6,0.5472837356203772,0.6932769673834075,0.25670979046434056,0.7876704828067835,B
B1,327745.53,4.40596877e6,0.46948180647210364,0.3630362887131903,0.24291171226877536,0.8974650552635242,B
B2,327721.65,4.40609786e6,1.5125038002503871e-16,0.03253295304853397,0.11174264135480795,0.09769898595997482,C
B3,327738.97,4.40619405e6,0.13300027932505315,0.08738045156441512,0.21301948462852197,0.27619934189382905,B
B4,327778.14,4.40639034e6,0.28204175142021,0.01864790444756701,0.27140794800554774,0.19226608174059348,A
B5,327713.81,4.40629808e6,0.4358842624038865,0.31135838075672645,0.5382564326527918,0.7136979680398733,B
B5A,327754.04,4.40637455e6,0.4395094968766503,0.056909733935354714,0.3562314964330352,0.4008483850812045,A
B6,327848.36,4.40636567e6,0.257202666219842,0.05767589433383503,0.1952839925432106,0.28055526651316637,A
B7,327784.51,4.40629935e6,0.15236906938043943,1.4438737478376102e-16,0.07277435578964996,0.04004452912935655,A
B8,327603.56,4.40643766e6,0.3944239161005417,0.25250791106595166,0.9974104594814939,0.6756057917396802,C
BCH-1,328398.2,4.40887416e6,0.6109174876917767,0.15183945732402387,0.3849297084839552,0.43522463237378084,A
BCH-2,327732.14,4.40800628e6,0.6563007517004507,0.23199322891811178,0.7153246841272235,0.7352175649322145,B
BCH-3,327126.74,4.40600409e6,0.8541749502138135,0.4802994471932053,0.301227721634935,0.860475719320556,B
EE-1,327575.0,4.40640489e6,0.38280509463888324,0.22689202246190257,1.0,0.6772347373386722,C
MG-1(SP-1),328194.09,4.4071925e6,0.649986291824989,0.35990991671785694,0.8658924075322282,0.9347323391288983,B
MG-2(SP-2),328128.08,4.4076273e6,0.6173674911988039,0.2955281388495281,0.6578365393649372,1.0,B
MGI-1,327853.91,4.40678619e6,0.17136769513660238,0.021125320585434003,0.3003248439621494,0.10079763892128542,C
MGI-2,327994.35,4.40709171e6,0.2759501195569527,0.00025626582034032636,0.1637816577705673,0.05853199228138972,A
