Name,X,Y,A,B,C,D,E,Signal
29,-111.101,39.40386,0.15592596,0.20392597,0.0,0.03274259,5.5779357e-5,A
30,-111.10489,39.3933,0.17889087,0.26166835,0.084759615,0.0,0.015873231,A
31,-111.09017,39.43636,0.13367511,0.1728919,0.0,0.03660705,0.0,A
32,-111.09684,39.42302,0.15000537,0.19416723,0.0,0.033436563,0.0,A
33,-111.13184,39.3258,0.17363714,0.25554755,0.085677624,9.078462e-7,0.007600028,A
34,-110.85849,40.08996,0.19522886,0.23992254,0.16700996,0.014914424,0.0015445101,A
35,-111.06295,39.52219,0.1367465,0.30629903,0.0,0.023624312,0.010576939,A
36,-111.13461,39.32358,0.1586205,0.23441614,0.09538258,0.0,0.004120036,A
37,-111.08517,39.46386,0.13937783,0.17265898,0.0,0.03622341,0.0,A
38,-111.06545,39.52385,0.15372515,0.26654077,0.0,0.025621526,0.01479137,A
39,-111.06628,39.52191,0.18120271,0.262415,0.0,0.027955644,0.0060015307,A
40,-111.08906,39.45802,0.010711559,0.0017781984,0.17279181,0.0023990492,2.469163e-5,C
41,-111.13795,39.32024,0.15660474,0.19323836,0.052378256,0.013321227,0.00041403453,A
42,-111.09239,39.45163,0.16912614,0.18319485,0.0,0.0358085,0.0,A
43,-111.06684,39.52358,0.14899068,0.25473166,0.0,0.0305994,0.0026206702,A
44,-111.06711,39.52302,0.16130961,0.26535574,0.0,0.027661104,0.0072437343,A
45,-111.06378,39.53247,0.17088997,0.16520394,0.0,0.03436135,0.0,A
46,-111.07406,39.50608,0.14112408,0.3183253,0.0,0.021291023,0.0,A
47,-111.06684,39.52719,0.17210728,0.14535059,0.0,0.040954847,0.0022461968,A
48,-111.20461,39.13803,0.16860658,0.12444843,0.0,0.059666365,0.0,A
49,-111.12878,39.35469,0.14787315,0.22524601,0.096487164,0.0,0.0036803181,A
50,-111.13573,39.33552,0.1607665,0.27312708,0.07416716,0.0012612856,0.0137648275,A
51,-111.14017,39.32636,0.25663072,0.2677298,0.014601721,0.020035647,0.016208567,A
52,-111.14267,39.31941,0.17352432,0.24138422,0.08957263,1.0325969e-6,0.006056919,A
53,-111.11211,39.4058,0.16996028,0.23142052,0.0,0.029768363,0.0037786157,A
54,-111.11406,39.40136,0.15972218,0.24111003,0.090905584,0.0,0.0074596982,A
55,-111.14406,39.31941,0.1646263,0.23456873,0.09319561,0.0,0.0059450194,A
56,-111.07572,39.51247,0.14577389,0.18697114,0.0,0.03653237,3.8758935e-5,A
57,-111.13406,39.3483,0.15381318,0.24188295,0.0901754,0.0,0.007330037,A
58,-111.07572,39.5133,0.15405583,0.23427205,0.0,0.03273119,0.013033145,A
59,-111.13156,39.35747,0.1578827,0.22281215,0.06948688,0.008476519,0.009997695,A
60,-111.13878,39.33774,0.15898535,0.18353578,0.069455355,0.0111617595,0.0,A
61,-111.07128,39.52858,0.1588127,0.22578284,0.0,0.028431507,0.0,A
62,-111.071,39.5308,0.16537233,0.16599253,0.0,0.03542935,0.0,A
63,-111.11684,39.4033,0.011163362,0.029555645,0.16492555,0.0015951789,0.00035903044,C
64,-111.07128,39.53163,0.16663022,0.17077081,0.0,0.035177913,0.0,A
65,-111.14295,39.3308,0.16198708,0.2375094,0.0908416,0.0,0.006051148,A
66,-111.146,39.32302,0.013975955,0.016641991,0.17086476,0.0012708446,0.001527109,C
67,-111.14989,39.31274,0.02383023,0.10297744,0.13095841,0.0012886607,0.00074934325,B
68,-111.14295,39.33469,0.17370705,0.27251554,0.078863434,4.223119e-5,0.006881607,A
69,-111.14267,39.33663,0.15831055,0.25735688,0.08425222,8.555541e-5,0.010227166,A
70,-111.13934,39.34636,0.16452259,0.2150524,0.09820537,0.0,0.004048804,A
71,-111.11878,39.40469,0.008818655,0.05589454,0.1592749,0.00027985458,0.0007079915,C
72,-111.07572,39.52802,0.15330447,0.16378264,0.0,0.035936367,0.0,A
73,-111.10545,39.44552,0.012486593,0.032951917,0.16084331,0.0024513209,0.00071519724,C
74,-111.07545,39.53024,0.1318035,0.10988354,0.0,0.04746559,0.0001300906,A
75,-111.18378,39.23108,0.10721485,0.28473508,0.05458326,0.013748998,0.12642474,A
76,-111.09378,39.48691,0.14613558,0.18797132,0.0,0.03514099,0.0,A
