Name,X,Y,A,B,C,Signal
190,-111.07934,39.70357,0.40017352,0.0,0.00023713504,A
191,-111.21934,39.31135,0.38785568,0.0,0.01147689,A
192,-111.21767,39.31608,0.3979466,0.0,0.0031483097,A
193,-111.2435,39.24719,0.34864157,0.0,0.02553663,A
194,-111.14962,39.51497,0.41716295,0.0,0.0020211122,A
195,-111.22017,39.31608,0.37312037,0.0,0.0071562696,A
196,-111.18628,39.4133,0.37692335,0.0,0.0009529096,A
197,-111.33129,39.00692,0.38555416,0.0,0.0005618138,A
198,-110.90738,40.20079,0.39449486,2.3112583e-5,0.020782458,A
199,-111.21906,39.33274,4.7235335e-5,0.06468476,0.038749017,B
200,-111.21906,39.33358,0.40311807,0.0,0.0010743744,A
201,-111.16128,39.49802,0.3936367,0.0,0.00022001368,A
202,-111.13128,39.58441,0.31320718,0.00692163,4.9248265e-5,A
203,-111.07072,39.75468,0.41002306,0.0,0.00049559696,A
204,-111.18517,39.43635,0.38538662,0.0,0.00031778234,A
205,-111.33518,39.01108,0.38706973,0.0,0.0009272302,A
206,-111.18323,39.44469,0.36712462,0.0,0.00032831842,A
207,-111.22073,39.33969,0.40327552,0.0,0.0071613016,A
208,-111.13962,39.56885,0.36222145,0.0014505076,0.0,A
209,-111.21934,39.34608,1.2354991e-5,0.071614064,0.037129566,B
210,-111.23017,39.31802,0.3324345,0.0,0.012782122,A
211,-111.19378,39.42247,0.37794256,0.0,0.0004058813,A
212,-111.19434,39.42219,0.37311324,0.0,0.00064669916,A
213,-111.20601,39.39135,4.928262e-6,0.0820322,0.012203438,B
214,-111.23517,39.30913,0.37677073,0.0,0.0117901,A
215,-111.20628,39.3908,2.1822625e-6,0.041916225,0.11530411,C
216,-111.13295,39.59774,0.17359246,0.07288522,0.0,A
217,-111.14267,39.57108,0.48611593,0.018225962,1.3136305e-6,A
218,-111.22378,39.34497,0.40214488,0.0,0.00080401707,A
219,-111.25545,39.25608,3.8174203e-5,0.06987948,0.035376042,B
220,-111.15878,39.52969,0.41317794,0.0,0.0002613762,A
221,-111.14434,39.5708,0.3885058,0.02289658,0.0,A
222,-111.20878,39.38941,3.5348532e-6,0.079830855,0.017865615,B
223,-111.17517,39.48552,0.3548284,0.0,7.4672746e-5,A
224,-111.25712,39.25552,8.452461e-5,0.07962529,0.010278384,B
225,-111.25628,39.25858,0.352992,0.0,0.032353707,A
226,-111.20767,39.39691,8.94448e-5,0.065281376,0.05520858,C
227,-111.23323,39.32497,0.37454948,0.0,0.0036583329,A
228,-111.35073,38.99108,0.30309287,0.016815264,0.002700178,A
