Name,X,Y,A,B,Signal
82,-111.14573,39.35024,0.20272219,0.05296744,A
83,-111.14878,39.34219,0.25580236,0.012742405,A
84,-111.09906,39.48441,0.24545366,0.01505801,A
85,-111.0835,39.52913,0.20428395,0.10472658,A
86,-111.09934,39.48524,0.18052195,0.09420083,A
87,-111.11323,39.45163,0.19805665,0.07090078,A
88,-111.07906,39.55024,0.21935612,0.09843837,A
89,-110.84127,40.21218,0.30340716,0.11789631,A
90,-111.16073,39.32302,0.27298284,0.008213087,A
91,-111.15823,39.33052,0.20208625,0.06202031,A
92,-111.10906,39.47608,0.18747143,0.08608754,A
93,-111.09961,39.50441,0.19046773,0.06821907,A
94,-111.15878,39.34274,0.24237978,0.016807927,A
95,-111.14795,39.37608,0.2269458,0.034196787,A
96,-111.11406,39.47163,0.21309756,0.060222045,A
97,-111.09684,39.52108,0.15064304,0.12036284,A
98,-111.16739,39.32441,0.2697128,0.012025573,A
99,-111.13239,39.42358,0.2670718,0.0028843575,A
100,-111.16934,39.32135,0.23149292,0.048431307,A
101,-111.20156,39.23163,0.25203538,0.10701634,A
102,-111.20267,39.23052,0.33053687,0.029967587,A
103,-111.15545,39.36441,0.2575265,0.026093166,A
104,-111.101,39.5183,0.16582264,0.10647043,A
105,-111.101,39.51913,0.2399185,0.018357765,A
106,-111.17017,39.32469,0.26620793,0.01798875,A
107,-111.10934,39.50108,0.25350797,0.014646893,A
108,-111.161,39.35608,0.2498323,0.014127153,A
109,-111.0935,39.54774,0.21820322,0.09355503,A
110,-111.02378,39.74524,0.17315215,0.1815612,A
111,-111.09545,39.54802,0.2628864,0.047603395,A
112,-111.101,39.53441,0.16695443,0.13397174,A
113,-111.15573,39.3808,0.27713853,0.009805389,A
114,-111.12489,39.46858,0.28477103,0.008524728,A
115,-111.15628,39.38135,0.19699362,0.056139667,A
116,-111.17156,39.33858,0.2831433,0.008933441,A
117,-111.17184,39.33885,0.2856114,0.00857197,A
118,-111.10017,39.54358,0.2098167,0.11106554,A
119,-111.15156,39.40024,0.25276104,0.022821365,A
120,-111.10461,39.53302,0.18401057,0.09994586,A
121,-111.16295,39.36941,0.19450596,0.053869925,A
122,-111.12073,39.49219,0.19034535,0.07399964,A
123,-111.11823,39.5008,0.19603346,0.04900262,A
124,-111.116,39.50969,0.2435371,0.016536228,A
125,-111.11545,39.51135,0.18672341,0.07603507,A
126,-111.17878,39.3333,0.26637074,0.017726826,A
127,-111.1085,39.53247,0.19697905,0.07536536,A
128,-111.17795,39.33691,0.26551235,0.011249878,A
129,-111.12739,39.48024,0.19524248,0.08510799,A
130,-111.11573,39.51385,0.1962581,0.10110581,A
131,-111.1235,39.49358,0.24830487,0.016189337,A
132,-111.19184,39.30135,0.21020716,0.09743442,A
133,-111.03656,39.73802,0.17410046,0.16007942,A
134,-111.211,39.24774,0.2201082,0.057796825,A
135,-111.19184,39.30219,0.21305549,0.08901347,A
136,-111.10684,39.54302,0.1976188,0.13437432,A
137,-111.111,39.53191,0.22273438,0.065507896,A
138,-111.14962,39.42385,0.22765477,0.03256297,A
139,-111.21489,39.24024,0.19417055,0.16546594,A
140,-111.10823,39.5433,0.19735327,0.14677384,A
141,-111.17295,39.36108,0.18771717,0.07245167,A
142,-111.11823,39.51663,0.18948719,0.07105781,A
143,-111.19212,39.30941,0.18343599,0.14873415,A
144,-111.04267,39.73107,0.17860533,0.16459702,A
145,-111.04378,39.7283,0.17311472,0.20037718,A
146,-111.16017,39.40302,0.21869472,0.041430123,A
147,-111.17934,39.35024,0.21151564,0.026970921,A
148,-111.12239,39.51135,0.2296521,0.022154296,A
149,-111.19239,39.31747,0.28395206,0.00069922133,A
150,-111.19267,39.31747,0.2576499,0.01622508,A
151,-111.03878,39.75052,0.18178342,0.15490809,A
152,-110.90183,40.13246,0.30428553,0.057942867,A
