Name,X,Y,A,B,C,Signal
4014,-112.71856,39.39551,0.3459733,0.29918805,0.055687863,A
4015,-112.25678,40.69275,0.15083033,0.4277262,0.13518985,B
4016,-112.26633,40.66664,0.14638773,0.4112805,0.13037135,B
4017,-112.26094,40.68167,0.15354519,0.42381293,0.13224547,B
4018,-112.29495,40.58856,0.14398491,0.37467688,0.14690207,B
4019,-111.83967,41.82687,0.40925187,0.20365134,0.1577261,A
4020,-111.87661,41.72882,0.39170387,0.19355054,0.16484597,A
4021,-112.11189,41.093,0.4373616,0.36542442,0.07634157,A
4022,-112.26689,40.66772,0.15125136,0.41691035,0.12938932,B
4023,-112.25745,40.69439,0.16519189,0.43366262,0.13631402,B
4024,-112.28828,40.60939,0.17008072,0.38871497,0.13914433,B
4025,-112.25875,40.69097,0.15170318,0.42711484,0.1345243,B
4026,-112.67773,39.51606,0.35473973,0.30417782,0.06378665,A
4027,-111.24745,43.3802,0.244187,0.29282227,0.0017383912,B
4028,-112.26353,40.67944,0.14963743,0.4208495,0.13142473,B
4029,-111.83495,41.84493,0.3806902,0.20505255,0.15756921,A
4030,-112.258,40.69661,0.16637269,0.43765056,0.13549043,B
4031,-112.28689,40.61744,0.16620488,0.39711857,0.13113843,B
4032,-112.27094,40.66172,0.14800218,0.4050259,0.12967478,B
4033,-112.04744,41.27383,0.40972397,0.3166268,0.07583116,A
4034,-112.26056,40.69083,0.10991284,0.40188184,0.13498029,B
4035,-112.26411,40.68133,0.17826687,0.43457085,0.13042252,B
4036,-112.68745,39.49384,0.36113617,0.29668012,0.06453427,A
4037,-112.72079,39.39965,0.35189012,0.2972272,0.056985136,A
4038,-112.72079,39.39968,0.35118833,0.29694942,0.057015743,A
4039,-112.26853,40.67064,0.15285736,0.41144195,0.13026793,B
4040,-112.29078,40.60939,0.16499451,0.39463156,0.13415048,B
4041,-111.87717,41.73576,0.46091235,0.19492902,0.158646,A
4042,-112.95912,38.71246,0.4176061,0.2642366,0.07428112,A
4043,-112.27097,40.66594,0.14953606,0.4080818,0.130075,B
4044,-112.26959,40.66992,0.15627477,0.41622055,0.12978083,B
4045,-112.72079,39.40295,0.35134313,0.29757276,0.05749488,A
4046,-112.26634,40.68022,0.15573904,0.4218906,0.13124903,B
4047,-111.84856,41.81521,0.40696478,0.20594159,0.15545808,A
4048,-111.69467,42.22465,0.35912812,0.18907256,0.17795062,A
4049,-111.89161,41.70021,0.45194918,0.19179754,0.16419743,A
4050,-112.28911,40.61772,0.17300476,0.39659774,0.1323877,B
4051,-112.70979,39.43595,0.35022846,0.2969455,0.062227663,A
4052,-112.113,41.10217,0.38060045,0.35242027,0.07673997,A
4053,-112.03105,41.3255,0.41202703,0.3023652,0.09217555,A
4054,-112.28773,40.62328,0.187774,0.4054882,0.12964919,B
4055,-112.26606,40.68328,0.15681097,0.42307886,0.13130991,B
4056,-113.07051,38.39135,0.4136226,0.2665284,0.089542516,A
4057,-112.29689,40.59883,0.15013547,0.38134888,0.14094184,B
4058,-112.29217,40.61217,0.13943467,0.37506512,0.13642758,B
4059,-112.26717,40.68133,0.15505587,0.42064506,0.13161837,B
4060,-112.29606,40.60217,0.15958749,0.3887628,0.13694479,B
4061,-112.02855,41.33744,0.48515815,0.32488516,0.08929458,A
4062,-113.43412,37.30831,0.38244188,0.09204215,0.13788255,A
4063,-113.09524,38.32358,0.40567595,0.27501774,0.09449221,A
4064,-111.89717,41.69299,0.45534447,0.19509083,0.16310842,A
