Name,X,Y,A,B,C,D,Signal
3593,-112.26522,40.42106,0.3105755,0.4405883,0.1861692,0.13796733,B
3594,-113.13857,37.90831,0.27794662,0.3741627,0.46673456,0.114412576,A
3595,-111.99883,41.15411,0.2778742,0.48954567,0.48588175,0.12907763,B
3596,-112.22133,40.54356,0.27458867,0.44904596,0.15941915,0.16834553,B
3597,-113.36356,37.23054,0.3106958,0.23315348,0.6631461,0.09367558,A
3598,-111.94883,41.2905,0.29840595,0.4964623,0.53116405,0.059001148,A
3599,-111.84716,41.56605,0.30259678,0.3428975,0.60807854,0.18647611,A
3600,-112.0205,41.09661,0.28122893,0.5099229,0.4804068,0.11699776,B
3601,-111.93772,41.32327,0.28732958,0.48313293,0.5160824,0.06904816,A
3602,-113.38745,37.16137,0.33629355,0.23357272,0.6487262,0.08386855,A
3603,-113.01468,38.28025,0.6730161,0.3332753,0.48884708,0.1435608,A
3604,-111.833,41.60632,0.26422969,0.35684446,0.567041,0.17733301,A
3605,-112.11994,40.82689,0.4271451,0.58044904,0.20409264,0.114070155,B
3606,-113.00996,38.29497,0.44034708,0.36011267,0.45386237,0.123918146,A
3607,-112.60189,39.4794,0.3480002,0.41513237,0.3541836,0.072896644,A
3608,-113.22467,37.65637,0.29254794,0.32078254,0.52506226,0.111932315,A
3609,-113.39048,37.15418,0.33996642,0.23397315,0.6546619,0.0840022,A
3610,-113.39051,37.15415,0.33495823,0.23460485,0.6512094,0.08322338,A
3611,-112.98551,38.3683,0.40866977,0.37240466,0.45669526,0.11462003,A
3612,-112.60745,39.4644,0.35849997,0.41604692,0.35417995,0.07348951,A
3613,-113.00134,38.32413,0.42291352,0.3621865,0.45323282,0.119150065,A
3614,-112.26078,40.4455,0.30370423,0.43284962,0.17788835,0.14767167,B
3615,-112.61412,39.45134,0.3282528,0.4165079,0.3585637,0.072150975,B
3616,-113.39078,37.16098,0.33192676,0.23401399,0.64869547,0.08354125,A
3617,-113.00329,38.32441,0.43235984,0.3638065,0.45533308,0.11971227,A
3618,-112.9919,38.35969,0.4121168,0.36968523,0.45582905,0.11537129,A
3619,-112.68967,39.23885,0.34482932,0.40707707,0.48502025,0.06887756,A
3620,-112.68968,39.23886,0.34673312,0.40797424,0.48552647,0.068934575,A
3621,-111.99678,41.17494,0.30670264,0.48966578,0.530169,0.12843682,A
3622,-113.00051,38.33497,0.42137057,0.36354095,0.45373538,0.11938366,A
3623,-111.94716,41.31022,0.29216984,0.49121746,0.52593607,0.062075105,A
3624,-111.99661,41.17633,0.30565307,0.4910165,0.5304661,0.12650557,A
3625,-112.13189,40.80661,0.42087162,0.57110715,0.19860446,0.13251352,B
3626,-113.08769,38.07777,0.36784875,0.38154027,0.39604807,0.12420028,A
3627,-113.01246,38.30136,0.4462316,0.36068127,0.45617592,0.1245072,A
3628,-112.24022,40.50967,0.3229878,0.42350435,0.1692183,0.18432356,B
3629,-113.00412,38.32775,0.42510274,0.3626103,0.45411697,0.11937605,A
3630,-113.00051,38.33886,0.42572266,0.36503017,0.45512602,0.11953355,A
3631,-111.81732,41.66584,0.23660807,0.36088365,0.56450677,0.15701386,A
3632,-112.02578,41.10272,0.28656688,0.5094255,0.48110968,0.118133985,B
3633,-113.40318,37.13458,0.31524745,0.2406416,0.6368818,0.07791261,A
3634,-111.9555,41.29605,0.3218968,0.4873721,0.56267565,0.06122699,A
3635,-113.01246,38.30969,0.43369058,0.3593324,0.45381305,0.12235748,A
3636,-113.00384,38.33886,0.4172173,0.36404443,0.4475568,0.118041545,A
3637,-113.01023,38.32052,0.42635837,0.36378202,0.45181397,0.1188813,A
3638,-113.00162,38.34608,0.39849305,0.37171593,0.44958007,0.1147894,A
3639,-113.00412,38.33886,0.4256214,0.36450675,0.45521307,0.11956856,A
3640,-112.62412,39.44329,0.3214002,0.4194572,0.3635055,0.07163618,B
3641,-113.36301,37.26693,0.29007515,0.24704129,0.64874333,0.09355806,A
3642,-112.23661,40.53356,0.2323483,0.44971362,0.14825693,0.15528774,B
3643,-113.00523,38.33886,0.4140549,0.3619308,0.45243812,0.118893504,A
3644,-111.83328,41.63382,0.23508874,0.36483356,0.557764,0.16405576,A
3645,-113.3969,37.16776,0.32850873,0.22974093,0.65088266,0.08823967,A
3646,-112.16633,40.73106,0.3970045,0.52568555,0.17246944,0.17220472,B
3647,-113.40078,37.15693,0.33369777,0.23224449,0.65381694,0.08515508,A
3648,-112.26189,40.46856,0.32329878,0.42765954,0.17582999,0.16596493,B
3649,-113.40912,37.13332,0.33772352,0.23415953,0.65552324,0.08265378,A
3650,-112.53412,39.70634,0.44112447,0.38484082,0.24613482,0.086807504,B
3651,-111.82716,41.6566,0.22061414,0.36786348,0.5557198,0.1536974,A
3652,-113.00523,38.34608,0.40633875,0.36468667,0.45164672,0.11594758,A
3653,-113.01773,38.30969,0.43229684,0.35802612,0.45387587,0.12157587,A
3654,-113.01496,38.31886,0.42974633,0.35968205,0.45417073,0.119923696,A
3655,-111.98744,41.2255,0.29954818,0.5084106,0.5108705,0.07772484,A
3656,-112.66995,39.3219,0.33186927,0.41972736,0.4152616,0.05706631,A
3657,-112.62384,39.45467,0.35269773,0.41548833,0.35894442,0.07302522,A
3658,-113.01357,38.32413,0.43838134,0.36761734,0.45344022,0.11890254,A
3659,-112.61273,39.4869,0.3672541,0.41077682,0.35695085,0.073137514,A
3660,-111.96466,41.28911,0.2997135,0.5046751,0.5387979,0.055761423,A
3661,-113.00162,38.36052,0.41385505,0.36839533,0.45662925,0.114495546,A
3662,-112.64801,39.38857,0.3108467,0.42507887,0.3649511,0.065785415,B
3663,-113.02162,38.30386,0.43547362,0.3572214,0.45290363,0.12322757,A
3664,-112.99134,38.3933,0.37489757,0.37391773,0.45554808,0.1115338,A
3665,-113.02162,38.30441,0.4392738,0.35829487,0.45404163,0.123089395,A
3666,-111.81828,41.68743,0.2437747,0.36673746,0.56706244,0.15256292,A
3667,-113.40958,37.14078,0.33632934,0.23496327,0.64755917,0.08223274,A
3668,-112.16967,40.733,0.38894075,0.5233939,0.17856315,0.1743828,B
3669,-113.01301,38.33163,0.42928746,0.36214197,0.45535982,0.11966751,A
3670,-113.00051,38.36858,0.40986437,0.3698187,0.45696223,0.114344254,A
3671,-113.01968,38.31247,0.4385844,0.35995454,0.45558682,0.121144585,A
3672,-113.00829,38.34608,0.4224777,0.3652514,0.45621613,0.116957486,A
3673,-111.84744,41.61104,0.2742824,0.35401878,0.5940732,0.17969969,A
3674,-112.16911,40.73606,0.39587647,0.52478755,0.18261537,0.17654385,B
3675,-112.05078,41.06105,0.3219845,0.5253862,0.498179,0.09619112,B
3676,-113.23912,37.66192,0.28838462,0.32211468,0.52906615,0.11163901,A
3677,-112.2255,40.58383,0.3141255,0.46329954,0.17623413,0.1644866,B
3678,-113.01912,38.31886,0.43465698,0.36004922,0.4553487,0.11971061,A
3679,-112.99134,38.4008,0.40420038,0.36741135,0.46105695,0.1131041,A
3680,-112.69134,39.27301,0.31455806,0.41855916,0.42832133,0.05794219,A
3681,-112.25522,40.50356,0.33063632,0.4195538,0.17209734,0.18462229,B
3682,-111.81522,41.70438,0.28235802,0.35647967,0.58761317,0.15900806,A
3683,-112.31884,40.32911,0.31037298,0.44783562,0.20539972,0.11422676,B
3684,-112.17411,40.72994,0.3761215,0.52609694,0.17615467,0.16955951,B
3685,-113.02884,38.29497,0.39337593,0.366024,0.42822203,0.11721877,A
3686,-112.86967,38.76163,0.36598748,0.38905168,0.4651129,0.072145306,A
3687,-112.86578,38.77296,0.3737885,0.38863245,0.46916142,0.07262608,A
3688,-112.17244,40.7355,0.40195066,0.5239525,0.18390398,0.17651159,B
3689,-113.0194,38.32302,0.42500684,0.3587766,0.45359287,0.119176306,A
3690,-113.0044,38.36774,0.39074638,0.37426212,0.45142645,0.111963436,A
3691,-112.86999,38.76186,0.36876354,0.39204115,0.46344876,0.07183805,A
3692,-112.62106,39.4794,0.3590707,0.41032457,0.35915443,0.0728141,A
3693,-112.26828,40.47217,0.31949756,0.42699772,0.17607208,0.16653629,B
3694,-112.00633,41.19161,0.25799054,0.50312835,0.5043663,0.10140399,B
3695,-112.17467,40.73217,0.39301938,0.5304562,0.17479642,0.17001784,B
3696,-113.02384,38.31358,0.43841282,0.35898814,0.4543445,0.12078397,A
3697,-113.01912,38.32775,0.43129304,0.36049694,0.4554634,0.11963972,A
3698,-112.99219,38.40827,0.3545372,0.38123357,0.45115593,0.10597011,A
3699,-113.07023,38.1783,0.3851553,0.37408888,0.37599984,0.11905929,A
3700,-112.32078,40.3305,0.31174693,0.4470789,0.2061652,0.1150315,B
3701,-113.86801,35.72943,0.28603625,0.30640838,0.30976364,0.19257881,B
3702,-113.01969,38.32857,0.39286402,0.36720514,0.45071772,0.11607815,A
3703,-112.63912,39.43301,0.3449928,0.41398922,0.37198135,0.072437614,A
3704,-113.03218,38.29497,0.40397862,0.36568695,0.44276866,0.11965644,A
3705,-113.02884,38.30497,0.43519187,0.35669002,0.45032594,0.12192745,A
3706,-112.17578,40.73594,0.419345,0.52832294,0.175129,0.17214268,B
3707,-113.00773,38.36774,0.39852524,0.36717072,0.45102426,0.11282675,A
3708,-111.96883,41.30189,0.31426057,0.50011,0.548392,0.057700172,A
3709,-113.01551,38.34691,0.4197052,0.3636259,0.4557228,0.11567945,A
3710,-112.25633,40.51661,0.31157598,0.42969993,0.16203111,0.17995745,B
3711,-113.02857,38.30969,0.43948352,0.35764283,0.4545123,0.12122447,A
3712,-113.0044,38.38108,0.37424403,0.37798706,0.45202887,0.110088445,A
3713,-113.02412,38.32413,0.43100637,0.35871693,0.45463276,0.11944897,A
3714,-111.97855,41.27967,0.29732478,0.5107547,0.5413085,0.055716548,A
3715,-112.26578,40.49217,0.31540143,0.4250552,0.17251419,0.1758926,B
3716,-113.03718,38.28719,0.41408867,0.36357498,0.42895183,0.12109149,A
3717,-112.28717,40.43522,0.32493335,0.43742797,0.19303055,0.14423056,B
3718,-112.87579,38.76196,0.38202903,0.38775983,0.47240773,0.07312055,A
3719,-113.04273,38.27275,0.45057225,0.36033863,0.42834,0.12423967,A
3720,-113.01884,38.34552,0.4191409,0.36036393,0.4580587,0.11630171,A
3721,-112.25828,40.51883,0.31187332,0.43038854,0.16310152,0.18023163,B
3722,-113.02884,38.31691,0.4226067,0.35952124,0.45127246,0.11838929,A
3723,-113.02889,38.31687,0.4227767,0.36169288,0.4518459,0.11822592,A
3724,-111.82752,41.6947,0.23736596,0.37012812,0.5663644,0.14837319,A
3725,-113.01968,38.34608,0.41897342,0.36078283,0.45486522,0.11563137,A
3726,-113.02884,38.31941,0.42789418,0.35694814,0.45205975,0.119190045,A
3727,-111.80967,41.74326,0.22888923,0.37752572,0.53479725,0.13798237,A
3728,-112.25911,40.51911,0.30295494,0.4281384,0.16158463,0.1786007,B
3729,-113.04329,38.27691,0.45053232,0.35994846,0.43006372,0.12423194,A
3730,-112.81688,38.93936,0.3565553,0.39702424,0.47221032,0.07415487,A
3731,-112.27383,40.47856,0.3396188,0.42368075,0.18389983,0.17420632,B
3732,-112.81689,38.93941,0.35505462,0.397198,0.47228873,0.07409951,A
3733,-113.01996,38.34608,0.43371508,0.35931045,0.455071,0.116566144,A
3734,-111.97161,41.30828,0.35521713,0.48816726,0.57612187,0.062407844,A
3735,-111.98716,41.26717,0.30639723,0.5095771,0.54887915,0.057236698,A
3736,-113.01801,38.35413,0.3596542,0.37524968,0.44142413,0.10779138,A
3737,-113.02329,38.33886,0.43014157,0.3614171,0.45692936,0.117726095,A
3738,-111.81272,41.73799,0.274672,0.36345637,0.58601266,0.1513373,A
3739,-113.02857,38.32413,0.41407663,0.36014706,0.45116422,0.11775668,A
3740,-113.22384,37.7472,0.3444621,0.34314504,0.5096597,0.107207865,A
3741,-113.03801,38.30163,0.44131997,0.35624143,0.44955674,0.121946104,A
3742,-112.24606,40.56467,0.32076234,0.44855046,0.17743598,0.17345962,B
3743,-112.24622,40.56478,0.35544613,0.44113556,0.1875142,0.18326439,B
