Name,X,Y,S1,S2,S3,S4,Cluster
57-1,327931.46,4.40741438e6,1.4797119617882732e-10,1.9166702142365428e-15,0.7738883101409131,0.5799722184266756,B
64-1,328156.6,4.40795433e6,3.7194238467169705e-16,0.4304230165028271,0.8653445972447001,2.1903157866260355e-16,C
68A-1,328229.72,4.40707921e6,0.35590761613016564,3.1536269437704115e-16,0.6811041707801508,0.3435553697121972,A
68B-1,328065.7,4.40706164e6,0.6581353512927746,0.04572081487638321,0.6957720702860725,0.354789780326895,A
77-1,328214.13,4.40718169e6,0.612393694726137,0.4393549038578608,0.40432068972233315,0.2628250093819546,A
81-1,328567.28,4.40851194e6,3.7194238467169705e-16,0.2314648520682539,0.9003357008024108,0.026993749250993463,C
81-11,326859.34,4.4069495e6,3.7194238467169705e-16,3.1536269437704115e-16,3.198032698151405e-16,0.6892251938383082,B
81A-1,328598.76,4.40855648e6,3.7194238467169705e-16,0.2114170895445556,0.9146540203970862,0.017891481949184884,C
81B-1,328528.63,4.40843124e6,0.28576643209803626,0.5773497840879379,0.6666939544485652,0.00023934404024824083,C
82A-11,326907.12,4.40670723e6,3.7194238467169705e-16,1.0,3.198032698151405e-16,2.1903157866260355e-16,D
82A-11-RD1,326907.12,4.40670723e6,3.7194238467169705e-16,1.0,3.198032698151405e-16,2.1903157866260355e-16,D
82A-11-RD2,326907.12,4.40670723e6,3.7194238467169705e-16,1.0,3.198032698151405e-16,2.1903157866260355e-16,D
82A-11-RD3,326907.12,4.40670723e6,3.7194238467169705e-16,1.0,3.198032698151405e-16,2.1903157866260355e-16,D
88-11,326889.0,4.40544507e6,3.7194238467169705e-16,0.5556672884585045,2.8634253836612294e-15,0.3858662100122411,D
B1,327745.53,4.40596877e6,3.7194238467169705e-16,3.1536269437704115e-16,3.695730417406042e-16,0.7596124645464046,B
B2,327721.65,4.40609786e6,3.7194238467169705e-16,9.684941320789187e-7,0.2715179283041911,0.7219420251921558,B
B3,327738.97,4.40619405e6,0.7100350829402688,3.1536269437704115e-16,3.198032698151405e-16,0.7770646298966295,A
B4,327778.14,4.40639034e6,0.8343784592194837,3.1536269437704115e-16,0.6888867354508273,0.2864177309237012,A
B5,327713.81,4.40629808e6,0.7742000005542284,0.5788339584869232,0.41088067415223933,2.1903157866260355e-16,A
B5A,327754.04,4.40637455e6,1.0,3.1536269437704115e-16,0.570222280056012,0.3140952367053597,A
B6,327848.36,4.40636567e6,0.8531091553555518,0.3477382454942143,3.198032698151405e-16,0.5470624559599202,A
B7,327784.51,4.40629935e6,0.9018011429153264,0.2686566369971858,0.48541584282211403,0.248386567704925,A
B8,327603.56,4.40643766e6,3.7194238467169705e-16,3.1536269437704115e-16,0.3407078669639265,0.5581828399307202,B
BCH-1,328398.2,4.40887416e6,3.7194238467169705e-16,0.38820183601262087,0.31481152772546833,0.34131273929544015,D
BCH-2,327732.14,4.40800628e6,0.4261246079472143,3.1536269437704115e-16,0.37187696135050774,0.4320987433022096,A
BCH-3,327126.74,4.40600409e6,0.7960668068743844,0.35411375584972105,3.198032698151405e-16,0.3722199183907127,A
EE-1,327575.0,4.40640489e6,3.7194238467169705e-16,3.1536269437704115e-16,0.2646654019705789,0.6028590504965656,B
MG-1(SP-1),328194.09,4.4071925e6,0.8408612385747716,0.5497640304447164,0.5526356880395842,2.1903157866260355e-16,A
MG-2(SP-2),328128.08,4.4076273e6,3.7194238467169705e-16,0.41338053925374996,1.0,2.1903157866260355e-16,C
MGI-1,327853.91,4.40678619e6,0.44426664671529575,0.17183120417212008,0.7037468906008858,0.27374779741777466,A
MGI-2,327994.35,4.40709171e6,0.9702515576543921,0.5090188978171553,0.6967781775171197,0.023676980250586187,A
