,NPV
503,68440700.0
504,-4085900.0
505,-19157200.0
506,4871950.0
507,7750300.0
508,427311000.0
509,119328000.0
510,-24794300.0
511,51034500.0
512,215476000.0
513,-13357500.0
514,-16663200.0
515,15237000.0
516,-15438700.0
517,-4573390.0
518,81361100.0
519,-88932700.0
520,-25185700.0
521,-29859900.0
522,-25057400.0
523,-349677.0
524,-25647100.0
525,-25766500.0
526,-9793930.0
527,-25474800.0
528,-9869210.0
529,-28063600.0
530,-21943500.0
531,-24949700.0
532,-25286300.0
533,-23900200.0
534,-24950800.0
535,-24260700.0
536,-25823200.0
537,-25403900.0
538,-25331300.0
539,-25440500.0
540,-25199700.0
541,-25440500.0
542,-25440500.0
543,-24642300.0
544,-12312200.0
545,120779000.0
546,-17021900.0
547,-408530000.0
548,419039000.0
549,-25440500.0
550,-25440500.0
551,-25059300.0
552,83953400.0
553,-25440500.0
554,-25440500.0
555,-25440500.0
556,-24944100.0
557,-25440500.0
558,-25440500.0
559,-10341000.0
560,-92135.8
561,4077920.0
562,-2510610.0
563,-16931100.0
564,-91803900.0
565,305562000.0
566,-24737600.0
567,-25017200.0
568,289785000.0
569,-135506000.0
570,-25022100.0
571,-26473100.0
572,-25023500.0
573,-25278600.0
574,-98373000.0
575,227379000.0
576,-235057000.0
577,-16128800.0
578,73165900.0
579,-15486300.0
580,21256300.0
581,-13740300.0
582,72919200.0
583,-6127590.0
584,-1757090.0
585,-16628900.0
586,-20161400.0
587,-20329700.0
588,-21437700.0
589,-21354300.0
590,-18443800.0
591,-20900600.0
592,-21726800.0
593,-22099600.0
594,-14136800.0
595,-20124600.0
596,-24602000.0
597,-24604300.0
598,-24609600.0
599,-24174400.0
600,-308350000.0
601,-24603900.0
602,-24603900.0
603,-23778100.0
604,-24603900.0
605,-21920600.0
606,-23535400.0
607,-20756200.0
608,-23316200.0
609,-20937400.0
610,-21374500.0
611,-25997500.0
612,-25160000.0
613,-25752600.0
614,-25752600.0
615,-25752600.0
616,13249500.0
617,2256210.0
618,13643600.0
619,28379500.0
620,-17062200.0
621,-13168200.0
622,1447210.0
623,-9470570.0
624,-14049600.0
625,3386030.0
626,-18065200.0
627,-11020300.0
628,-22095000.0
629,-3218760.0
630,-17559100.0
631,12321000.0
632,-27468700.0
633,41773900.0
634,1386010.0
635,-12604800.0
636,-3446890.0
637,-6700910.0
638,-17560300.0
639,17644600.0
640,-12944700.0
641,232983000.0
642,-16575900.0
643,-20834100.0
644,-20043200.0
645,-8156180.0
646,252093000.0
647,-15162900.0
648,-11410300.0
649,167353.0
650,-22110900.0
651,-48569200.0
652,20928600.0
653,-25730300.0
654,9680440.0
655,-13678800.0
656,-25177400.0
657,-25644000.0
658,-24636200.0
659,-25644000.0
660,-25644000.0
661,-22413500.0
662,-21372700.0
663,-21628100.0
664,-6608110.0
665,-24038900.0
666,-18944800.0
667,-24747700.0
668,-24747700.0
669,-16803300.0
670,-19228900.0
671,13278000.0
672,-1952750.0
673,146112.0
674,-11086400.0
675,12889400.0
676,8267040.0
677,-20010000.0
678,-19581700.0
679,-21434600.0
680,-20819600.0
681,-22186900.0
682,-24747700.0
683,-24747700.0
684,-24747700.0
685,-640487000.0
686,-247075000.0
687,-24735600.0
688,-13891500.0
689,-21769300.0
690,-22820500.0
691,-19985700.0
692,-3507640.0
693,-9329750.0
694,-19015500.0
695,-24734600.0
696,-17684700.0
697,-20052400.0
698,-21011100.0
699,-24731100.0
700,-21327700.0
701,-11665300.0
702,-8794820.0
703,-1024000.0
704,24696800.0
705,1003140.0
706,119823.0
707,6804590.0
708,-4877810.0
709,4026660.0
710,-25565300.0
711,-25631100.0
712,-25626500.0
713,-25626500.0
714,-25596500.0
715,-15850000.0
716,-15582500.0
717,-24167700.0
718,-18172500.0
719,-15380300.0
720,-24647200.0
721,-25626500.0
722,-23439700.0
723,-25626500.0
724,-21635000.0
725,-22897500.0
726,-25626500.0
727,-25626500.0
728,-23077500.0
729,-22419000.0
730,-19503700.0
731,-19520800.0
732,-23505600.0
733,-24896400.0
734,-25626500.0
735,-20591600.0
736,-24218600.0
737,-23350200.0
738,-22309000.0
739,-20445300.0
740,-20295500.0
741,-25398900.0
742,-22132300.0
743,-21152000.0
744,-25235400.0
745,-13170000.0
746,-14769200.0
747,-13640800.0
748,3023600.0
749,10644400.0
750,2739870.0
751,-1553410.0
752,-15376500.0
753,-8018300.0
754,7195870.0
755,-24713900.0
756,-24889900.0
757,-25537300.0
758,-24250400.0
759,-24889900.0
760,-82445400000.0
761,-12392500.0
762,18306000.0
763,27052400.0
764,-54003100000.0
765,-13971100.0
766,-7347260.0
767,-20520100.0
768,19117000.0
769,-12286600.0
770,-16995400.0
771,-16567800.0
772,-19513800.0
773,-19532300.0
774,32712800.0
775,-21999700.0
776,-22268000.0
777,-21149000.0
778,-25095000.0
779,-19554800.0
780,-19041800.0
