,Pout:0.000,Pout:0.750,Pout:1.500,Pout:2.250,Pout:3.000,Pout:3.750,Pout:4.500,Pout:5.250,Pout:6.000,Pout:6.750,Pout:7.500,Pout:8.250,Pout:9.000,Pout:9.750,Pout:10.500,Pout:11.250,Pout:12.000,Pout:12.750,Pout:13.500,Pout:14.250,Pout:15.000,Pout:15.750,Pout:16.500,Pout:17.250,Pout:18.000,Pout:18.750,Pout:19.500,Pout:20.250,Pout:21.000,Pout:21.750,Pout:22.500,Pout:23.250,Pout:24.000,Pout:24.750,Pout:25.500,Pout:26.250,Pout:27.000,Pout:27.750,Pout:28.500,Pout:29.250
1377,6749.5,6748.42,2732.93,1148.36,214.457,-359.178,-758.35,-1058.19,-1306.51,-1505.89,-1670.13,-1808.03,-1934.99,-2035.55,-2133.98,-2210.29,-2277.76,-2338.32,-2393.01,-2442.67,-2487.99,-2529.52,-2567.72,-2603.0,-2635.68,-2666.06,-2694.36,-2720.8,-2745.56,-2768.81,-2790.68,-2811.29,-2830.75,-2849.16,-2866.6,-2883.15,-2898.88,-2913.84,-2928.1,-2941.71
1378,4829.7,4822.59,-306.839,-2049.14,-2988.85,-3563.44,-3978.48,-4298.78,-4546.63,-4744.98,-4907.7,-5055.97,-5180.32,-5277.3,-5361.58,-5435.97,-5502.18,-5561.53,-5615.04,-5663.57,-5707.78,-5748.26,-5785.46,-5819.77,-5851.54,-5881.03,-5908.49,-5934.14,-5958.14,-5980.66,-6001.83,-6021.78,-6040.61,-6058.41,-6075.28,-6091.27,-6106.47,-6120.93,-6134.7,-6147.84
1379,371.419,371.419,371.419,371.419,371.419,371.419,371.419,371.419,371.419,371.419,371.418,371.418,371.418,371.418,371.418,371.418,371.418,371.418,371.418,371.418,371.418,371.418,371.418,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417,371.417
1380,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1411.57,1409.07,1398.99,1384.61,1366.94,1346.86,1325.06,1302.11,1278.43,1239.07
1381,127.189,127.189,127.189,127.189,127.189,127.189,127.189,127.189,127.189,127.189,127.189,127.189,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.188,127.187,127.187,127.187,127.187,127.187,127.187
1382,7092.8,7092.8,4175.76,2330.37,1328.5,646.421,194.796,-163.679,-431.963,-663.642,-854.435,-1014.91,-1151.96,-1280.67,-1383.44,-1473.86,-1565.31,-1636.73,-1700.66,-1758.72,-1811.75,-1860.38,-1905.16,-1946.53,-1984.89,-2020.55,-2053.8,-2084.88,-2114.01,-2141.35,-2167.09,-2191.35,-2214.27,-2235.96,-2256.51,-2276.02,-2294.56,-2312.21,-2329.03,-2345.08
1383,4415.49,4415.49,4415.49,4331.64,3377.33,2792.3,2349.81,2004.14,1716.05,1481.96,1306.8,1149.06,1013.12,903.522,797.158,703.253,619.308,543.781,475.42,406.998,350.31,298.518,250.783,206.615,157.785,119.639,84.6063,51.8501,21.0906,-7.86112,-35.1649,-60.9611,-85.3746,-108.517,-130.486,-151.373,-171.258,-190.212,-208.302,-225.586
1384,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2030.45,2018.86,1973.82,1911.81,1841.44,1762.16,1657.12,1592.21,1549.45,1500.66,1445.55,1396.71,1352.97,1308.47,1268.41,1231.4,1196.18,1165.73,1133.77,1103.09,1073.84,1050.9,1023.36,997.574,972.75,948.968
1385,515.098,515.098,515.098,515.098,515.098,515.098,515.098,515.098,515.098,501.12,475.561,432.401,409.525,386.537,367.32,352.046,334.188,317.135,303.408,291.37,281.563,270.43,260.214,250.684,241.607,233.237,225.437,218.084,211.146,204.586,196.338,190.163,184.64,179.428,174.461,169.718,165.181,160.837,156.673,152.677
1386,324.924,324.924,324.924,324.924,324.924,324.924,324.924,324.924,324.924,324.924,324.923,324.923,324.923,324.923,324.923,324.923,324.923,324.923,324.923,324.923,324.922,323.618,319.701,314.288,308.112,301.645,295.214,283.213,274.397,268.876,263.544,258.595,252.07,247.375,242.997,239.084,234.317,230.486,226.188,222.119
1387,1158.21,1148.4,289.324,64.3529,-65.417,-144.683,-199.264,-244.994,-274.357,-298.237,-317.827,-334.263,-348.274,-360.373,-370.94,-380.257,-388.54,-395.958,-402.644,-408.706,-414.229,-419.285,-423.933,-428.223,-432.195,-435.885,-439.324,-442.537,-445.546,-448.371,-451.029,-453.536,-455.903,-458.144,-460.268,-462.284,-464.202,-466.028,-467.769,-469.431
1388,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.996,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995,105.995
1389,164.368,164.368,164.368,164.368,164.368,164.368,164.368,164.368,164.367,164.367,164.367,164.367,164.367,164.367,164.367,164.367,164.367,164.367,164.367,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366,164.366
1390,232.381,232.381,173.159,132.537,109.141,92.5464,81.1408,72.071,65.1676,59.0297,53.8802,49.4757,45.6551,42.1058,39.1483,36.0679,33.7308,31.6221,29.6963,27.9282,26.2976,24.7882,23.386,22.0792,20.8577,19.7128,18.637,17.6239,16.6677,15.7633,14.9064,14.0931,13.3199,12.5836,11.8815,11.211,10.57,9.95632,9.36818,8.80386
1391,-523.501,-531.483,-613.664,-629.277,-636.719,-641.478,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882,-643.882
1392,-1546.13,-1552.01,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16,-1603.16
1393,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11,-8466.11
1394,164.565,164.565,164.565,146.209,127.356,112.459,101.814,92.697,85.1263,79.3156,74.2821,70.3083,66.4021,62.968,59.9073,57.1579,54.6708,52.2852,50.2189,48.3192,46.5652,44.5717,43.0765,41.6945,40.4009,39.185,38.0395,36.9578,35.9345,34.9644,34.0432,33.167,32.3323,31.5361,30.7754,30.0478,29.351,28.6828,28.0415,27.4253
