,hpro:0.000,hpro:0.750,hpro:1.500,hpro:2.250,hpro:3.000,hpro:3.750,hpro:4.500,hpro:5.250,hpro:6.000,hpro:6.750,hpro:7.500,hpro:8.250,hpro:9.000,hpro:9.750,hpro:10.500,hpro:11.250,hpro:12.000,hpro:12.750,hpro:13.500,hpro:14.250,hpro:15.000,hpro:15.750,hpro:16.500,hpro:17.250,hpro:18.000,hpro:18.750,hpro:19.500,hpro:20.250,hpro:21.000,hpro:21.750,hpro:22.500,hpro:23.250,hpro:24.000,hpro:24.750,hpro:25.500,hpro:26.250,hpro:27.000,hpro:27.750,hpro:28.500,hpro:29.250
1273,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176
1274,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176,882.176
1275,876.3,876.3,876.3,876.3,876.3,871.329,847.461,835.724,825.29,816.545,804.551,781.366,762.078,745.643,736.678,725.273,713.249,703.596,693.213,684.084,676.391,668.829,661.394,654.26,647.394,641.002,634.976,629.64,624.188,618.37,613.365,608.586,604.0,599.597,594.585,590.37,586.457,582.705,579.085,575.587
1276,826.496,826.49,777.697,760.633,749.174,739.628,734.312,730.002,726.439,723.399,720.809,718.551,716.56,714.786,713.192,711.75,710.437,709.234,708.127,707.104,706.154,705.269,704.443,703.668,702.939,702.253,701.605,700.992,700.41,699.858,699.332,698.831,698.352,697.895,697.457,697.038,696.635,696.248,695.876,695.518
1277,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3
1278,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.3,876.189,871.248,856.501,848.104,842.158,836.401,830.717,826.039,821.51,817.301,810.651,797.537,788.511,777.445,767.381,758.195,749.769,741.781,739.177,733.846,728.384,722.275,716.058,710.359,705.074,700.767,695.96,691.355,686.728,682.163,677.784
1279,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.303,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302,876.302
1280,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.307,876.306,876.306,876.306,876.306,876.306,876.306
1281,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,876.301,875.482,875.992,874.783,873.048,870.929,868.537,865.962,863.272,855.484,851.374,850.356,848.466
1282,835.026,834.988,807.627,794.838,786.928,783.026,779.973,777.527,775.495,773.796,772.339,771.071,769.954,768.96,768.069,767.262,766.529,765.858,765.241,764.67,764.141,763.649,763.189,762.758,762.353,761.971,761.611,761.271,760.948,760.641,760.349,760.071,759.806,759.552,759.31,759.077,758.854,758.64,758.434,758.235
