LATITUDE_NAD83,LONGITUDE_NAD83,TEMP_C,GEOTHERMOMETER_QUARTZ_C,GEOTHERMOMETER_CHALCEDONY_C,pH_FIELD,TDS_LAB,AL_PPM,B_PPM,BA_PPM,BE_PPM,BR_PPM,CA_PPM,CL_PPM,HCO3_PPM,K_PPM,LI_PPM,MG_PPM,NA_PPM,δO18
39.52913,-111.0835,10.05,28.27976933,-4.5762207035,7.25,,0.004,0.010499999999999999,0.094,,,88.56666666666666,3.4133333333333336,320.3333333333333,1.4366666666666665,0.0028,12.200000000000001,3.2266666666666666,
39.48524000000001,-111.09933999999998,5.7,25.44802461,-7.432229072,7.1,,,0.04,,,0.1,68.0,3.0,,1.1,,23.0,2.5,
39.45163,-111.11323,6.1,27.25222086,-5.618597685,7.2,,,0.03,,,,65.0,5.5,,0.5,,25.0,5.7,
39.55024,-111.07906,8.0,28.55037887,-4.311903106,7.2,,,0.03,,,,100.0,4.3,,2.0,0.02,51.0,3.6,
39.32302,-111.16073,14.2,33.34120455,0.523129617,7.2,,,0.08,,,,120.0,9.2,,3.8,,69.0,26.0,
39.33052,-111.15823,7.659999999999999,20.50536781,-12.38631171,7.4,,,0.03,,,,67.0,4.2,,0.5,,24.0,12.0,
39.47608,-111.10906,5.6,28.55037887,-4.311903106,7.1,,,0.03,,,,47.0,4.7,,1.6,0.01,29.0,4.9,
39.50441,-111.09961,5.0,23.06094461,-9.827460748,8.1,,,0.02,,,,75.0,3.8,,0.6,,23.0,3.0,
39.34274,-111.15878,5.0,,,,,,,,,,,,,,,,,
39.37608,-111.14795,7.5,24.51179877,-8.372239439,7.4,,,,,,,73.0,4.6,,1.4,,42.0,18.0,
39.47163,-111.11405999999994,9.266666666666666,26.36107635,-6.514755261,7.1,,,0.02,,,,80.0,3.5,,1.6,,31.0,3.5,
39.52108,-111.09684,4.5,17.75156444,-15.13735222,8.0,,,0.02,,,,53.0,2.4,,0.5,,11.0,1.8,
39.32441,-111.16739,14.2,34.45181497,1.646851127,7.4,,,0.09,,,,100.0,9.3,,5.8,,58.0,24.0,
39.42358000000001,-111.13239,10.2625,28.97334524,-3.885838932,7.233333333333333,,,0.08,,,,89.0,27.0,,4.9,,89.0,18.0,
39.32135,-111.16934000000002,7.142857142857143,37.26965574,4.502811114,7.7,,,0.06,,,,41.0,14.0,,1.9,,27.0,61.0,
39.23163,-111.20156,14.5,30.815821135,-2.02789419,8.75,,,,,,,26.5,81.5,,2.2,,26.0,123.9,
39.23052,-111.20267,19.0,42.37757363,9.697648691,7.9,,,,,,,150.0,61.0,,2.3,,110.0,78.0,
39.36441,-111.15545,14.0,32.19814028,-0.632301809,7.4,,,,,,,88.0,5.5,,3.4,,53.0,23.0,
39.5183,-111.101,7.5,12.101504259999999,-20.759658105,7.8,,,,,,,56.0,0.85,,0.8500000000000001,,17.5,1.35,
39.51913,-111.101,4.7,,,7.9,,,,,,,,,,,,,,
39.32469,-111.17017,14.5,35.53200614,2.74083113,7.5,,,0.18,,,,74.0,9.0,,10.0,,47.0,26.0,
39.50108,-111.10934,6.0,,,7.7,,,,,,,,,,,,,,
39.35608,-111.16100000000003,5.625,,,6.6,,,,,,,,,,,,,,
39.54774000000001,-111.0935,5.0,32.19814028,-0.632301809,,,,,,,,86.0,8.0,,2.3,,40.0,6.5,
39.54802,-111.09545,7.0,36.92810321,4.156266701,,,,,,,,77.0,29.0,,4.2,,68.0,14.0,
39.53441,-111.101,8.0,27.241848505,-5.62869562,7.699999999999999,,,0.04,,,,45.5,3.5,,1.05,,15.0,2.1500000000000004,
39.3808,-111.15573,9.375,,,,,,,,,,,,,,,,,
39.46858,-111.12489000000001,10.8,,,7.65,,,,,,,,,,,,,,
39.38135,-111.15628000000001,5.414285714285714,21.54955234,-11.34146954,7.2,,,0.03,,,,48.0,4.7,,1.1,,32.0,9.5,
39.33858,-111.17156,10.5,,,7.7,,,,,,,,,,,,,,
39.33885,-111.17184,11.0,,,7.7,,,,,,,,,,,,,,
39.54358,-111.10017,6.0,31.02036804,-1.821622591,7.8,,,,,,,85.0,4.7,,1.8,,38.0,4.8,
39.40024,-111.15155999999999,12.555555555555555,31.41696437,-1.4212727040000002,7.0,,,0.03,,,,92.0,5.6,,3.3,,52.0,16.0,
39.53302,-111.10461,6.0,28.12262066,-4.742635979,8.4,,,,,,,60.0,4.3,,0.4,,21.0,3.3,
39.36941000000001,-111.16295000000001,4.300000000000001,21.0312801,-11.86018555,7.833333333333333,,,,,,,60.0,3.2,,0.8,,33.0,6.2,
39.49219,-111.12073,5.5,24.03456796,-8.851107547,7.7,,,0.03,,,,73.0,4.1,,1.2,,21.0,2.6,
39.5008,-111.11823,4.0,21.0312801,-11.86018555,7.3,,,0.3,,,,82.0,3.6,,4.2,,20.0,3.7,
39.50969,-111.116,5.0,,,7.6,,,,,,,,,,,,,,
39.51135,-111.11545,5.0,23.55101454,-9.336119133,7.5,,,0.03,,,,72.0,5.3,,3.4,,14.0,2.8,
39.3333,-111.17878,17.0,32.19814028,-0.632301809,7.4,,,0.06,,,,60.0,18.0,,1.4,,59.0,47.0,
39.53247,-111.1085,5.5,28.12262066,-4.742635979,8.1,,,,,,,69.0,4.7,,0.8,,26.0,4.0,
39.33691,-111.17795,7.5,,,7.2,,,,,,,,,,,,,,
39.48024,-111.12739,8.2,24.51179877,-8.372239439,7.7,,,0.03,,,,96.0,3.8,,0.8,0.01,20.0,2.9,
39.51385,-111.11573,7.766666666666666,25.848148085,-7.026890658499999,7.733333333333333,,0.0015,0.014499999999999999,0.0935,,,75.5,2.01,286.5,0.85,0.0045000000000000005,15.8,2.7800000000000002,
39.49358,-111.1235,5.5,,,7.9,,,,,,,,,,,,,,
39.30135,-111.19183999999998,11.0,36.23615131,3.454516029,7.9,,0.02,0.27,0.99,,,23.0,3.2,,7.0,0.03,14.0,54.0,
39.24774,-111.211,8.75,30.412874455,-2.434438862,7.7,,,,,,,10.5,61.5,,1.75,,6.85,270.0,
39.30219,-111.19183999999998,11.0,34.0850877,1.275675079,8.0,,0.02,0.36,0.76,,,26.0,3.7,,8.6,0.03,14.0,54.0,
39.54302,-111.10684,7.0,30.2146779,-2.634515676,,,,,,,,72.0,4.8,,1.6,,31.0,3.8,
39.53191,-111.111,7.633333333333333,31.450146129999997,-1.3799052970000003,7.533333333333334,,0.002,0.0195,0.039,,,74.86666666666666,4.613333333333333,339.5,0.7400000000000001,0.01015,29.5,4.986666666666666,
39.42385,-111.14962,6.4,29.99685664,-2.8537307615,7.35,,,0.04,,,,72.5,8.850000000000001,,2.3,0.02,46.5,11.5,
39.24024,-111.21488999999998,6.111111111111111,27.68994495,-5.178158773,8.3,,,,,,,16.0,28.0,,1.5,,9.9,300.0,
39.5433,-111.10823,12.0,24.98289205,-7.899336682,,,,,,,,68.0,7.3,,0.8,,26.0,5.1,
39.36108,-111.17295,5.0,21.54955234,-11.34146954,,,,,,,,65.0,4.1,,0.5,,23.0,4.8,
39.51663,-111.11823,4.6,24.51179877,-8.372239439,7.7,,,0.04,,,,85.0,4.2,,0.8,,19.0,2.7,
39.30941,-111.19212,10.8,35.53200614,2.74083113,8.2,,,0.72,,,,17.0,4.8,,3.6,,8.4,120.0,
39.73107,-111.04267,6.3,32.19814028,-0.632301809,6.9,,,0.04,,,,77.0,6.6,,3.6,0.02,14.0,3.9,
39.7283,-111.04378,6.1,45.27805007,12.65775451,7.1,,,0.04,,,,81.0,7.5,,1.2,,9.2,5.4,
39.40302,-111.16017,5.6,30.2146779,-2.634515676,7.0,,,0.03,,,,70.0,5.1,,1.8,0.01,45.0,11.0,
39.35024,-111.17934,3.5,24.51179877,-8.372239439,7.9,,,0.06,,,,38.0,13.0,,1.5,,36.0,34.0,
39.51135,-111.12239,4.0,,,7.8,,,,,,,,,,,,,,
39.31747,-111.19239,6.5,36.92810321,4.156266701,7.5,,,0.38,,,0.1,230.0,10.0,,9.2,,120.0,78.0,
39.31747,-111.19267,10.5,32.96389561,0.141612134,7.8,,,0.12,,,0.1,110.0,7.6,,5.6,,61.0,22.0,
39.44441,-111.14849999999998,8.4,21.54955234,-11.34146954,7.6,,,0.03,,,,67.0,5.3,,1.5,0.01,38.0,7.1,
39.54469,-111.1135,8.0,30.61963913,-2.226004811,8.5,,,,,,,70.0,5.9,,1.7,,31.0,4.3,
39.56108,-111.10767,6.5,32.19814028,-0.632301809,7.6,,,,,,,93.0,11.0,,3.3,,45.0,11.0,
39.52247,-111.12184,13.0,16.58624458,-16.29954334,7.4,,,0.02,,,,50.0,1.4,,0.4,0.01,22.0,1.2,
39.51969,-111.12295,8.0,,,7.6,,,,,,,,,,,,,,
39.35969,-111.18017,5.7,,,7.8,,,,,,,,,,,,,,
39.27524,-111.21045,9.5,35.53200614,2.74083113,7.5,,0.01,0.09,0.06,,,53.0,6.6,,3.7,0.04,36.0,20.0,
39.35858,-111.18156,6.2,,,7.2,,,,,,,,,,,,,,
39.12691,-111.2635,9.8,32.19814028,-0.632301809,7.2,,,,,,,100.0,89.0,,4.0,,55.0,120.0,
39.36135000000001,-111.18128,6.811111111111111,21.0312801,-11.86018555,7.1,,,,,,,74.0,3.0,,0.2,,9.2,2.9,
39.42385000000001,-111.15934000000001,7.4375,23.06094461,-9.827460748,7.32,,,0.03,,,,65.0,3.8,,1.1,,30.0,5.9,
39.54635,-111.116,8.0,37.60833524,4.846541817,8.1,,,,,,,82.0,4.9,,1.2,,38.0,5.7,
39.5358,-111.12017,5.0,32.96389561,0.141612134,8.8,,,,,,,67.0,9.6,,1.7,,40.0,7.4,
39.35774,-111.18406,6.2,,,7.4,,,,,,,,,,,,,,
39.20969,-111.23739,9.5,38.45099470666667,5.707856981999999,7.666666666666667,,,0.07,,,,66.33333333333333,63.0,,2.8333333333333335,,39.0,90.33333333333333,
39.3583,-111.18628,5.6,,,7.5,,,,,,,,,,,,,,
39.40858,-111.16962,11.0,76.58424231,45.08937459,7.4,,,,,,,69.0,19.0,,,,14.0,21.0,
39.54635,-111.12239,8.0,36.92810321,4.156266701,8.2,,,,,,,72.0,9.6,,1.2,,43.0,7.7,
39.37191000000001,-111.18434,5.666666666666667,,,,,,,,,,,,,,,,,
39.2358,-111.23573,8.0,28.12262066,-4.742635979,,,,,,,,51.0,16.0,,1.2,,45.0,23.0,
39.23524000000002,-111.23628,4.872727272727273,24.658833796666666,-8.224322980333334,7.933333333333334,,,,,,,38.0,10.133333333333333,,0.9666666666666667,,36.666666666666664,21.666666666666668,
38.96108,-111.33268,14.5,37.60833524,4.846541817,7.5,,,,,,,72.0,9.1,,2.8,,40.0,45.0,
38.96777,-111.33153,20.5,35.53200478,2.740829757,7.5,,,,,,,35.0,15.0,117.0,1.0,,8.5,13.0,
38.96775,-111.33155999999998,7.722222222222222,36.57017069,3.7936864735,7.5,,,,,,,34.0,15.5,,1.35,,8.4,13.0,
39.33635000000001,-111.20266999999996,7.87,27.54235412666667,-5.326610449666667,7.2250000000000005,,0.0,0.015,0.09,,,59.666666666666664,8.1,,1.7000000000000002,0.02,37.0,12.333333333333334,
