Name,S1,S2,S3,S4,S5,S6
B5A,0.030556378983906247,0.07407770032960646,1.6666253859928799e-9,0.019964993463535603,0.014007143698827648,0.02056399668025505
B6,3.1552857148912425e-17,0.07287417439529265,0.03090121688673271,0.02036275121462755,0.009908730212408463,0.020122552839398077
B7,0.031083537164495984,0.0729198932224704,0.021776931843547582,0.010170036917420798,0.004885145334714227,0.01776840809071639
B8,3.1552857148912425e-17,4.5356969915600945e-17,3.107803352286776e-17,0.06692080483137973,0.027894675589505077,3.477906508605562e-17
BCH-1,0.03361022239508603,4.5356969915600945e-17,0.022245062122717638,3.009199922211662e-17,2.8544690672837127e-17,0.04614957867229865
BCH-2,3.1552857148912425e-17,4.5356969915600945e-17,3.107803352286776e-17,0.058470650747034544,2.8544690672837127e-17,0.05252587495580367
BCH-3,3.1552857148912425e-17,0.007099431734014968,0.02970800898814976,3.009199922211662e-17,2.8544690672837127e-17,0.08732687466947173
EE-1,3.1552857148912425e-17,4.5356969915600945e-17,3.107803352286776e-17,0.06832995593997034,0.0255777220148315,3.477906508605562e-17
MG-1(SP-1),3.1552857148912425e-17,0.1111197912328383,0.02274959707349716,0.03687496735558956,2.8544690672837127e-17,3.477906508605562e-17
MG-2(SP-2),0.0576608964477392,3.893091659737306e-8,0.017077649217676627,0.03878665250054141,2.8544690672837127e-17,3.477906508605562e-17
MGI-1,0.04006966529035193,0.03212521234874394,4.713807785610839e-11,0.051191392427385796,0.0006862634649966027,0.019223799082447035
MGI-2,0.03637101783294753,0.07193553693604163,0.03264149470896516,0.0028574959226720553,0.00037088201767656616,0.04476627578107355
